,SampleID,dD,PerH,Comments,Sample.ID,Endmember,NumericDate,Month,Watershed,Site.ID,TrayName
8,148,-131.5,0.8,,148,DOM,140910,Sep,Jordan,1700,15-Apr-15
3,143,-103.3,0.7,,143,DOM,140910,Sep,Jordan,5400,15-Apr-15
2,142,-96.1,0.9,,142,DOM,140910,Sep,Jordan,7800,15-Apr-15
1,141,-116,0.8,,141,DOM,140910,Sep,Jordan,Ulake,15-Apr-15
7,147,-131.4,0.6,,147,DOM,140912,Sep,Jordan,2300,15-Apr-15
4,144,-120.1,0.8,,144,DOM,140912,Sep,Jordan,3300,15-Apr-15
9,149,-128.7,0.8,,149,DOM,140912,Sep,Jordan,Cudahy,15-Apr-15
5,145,-133.8,0.8,,145,DOM,140912,Sep,Jordan,MillUp,15-Apr-15
18,158,-201.4,0.5,,158,DOM,140904,Sep,Logan River,LR_Franklin_BA,15-Apr-15
25,165,-164.1,0.9,,165,DOM,140904,Sep,Logan River,LR_Mendon_AA,15-Apr-15
19,159,-174.9,0.9,,159,DOM,140904,Sep,Logan River,LR_TonyGrove_BA,15-Apr-15
21,161,-189.3,0.6,,161,DOM,140904,Sep,Logan River,LR_WaterLab_AA,15-Apr-15
20,160,-186.5,0.7,,160,DOM,140907,Sep,Logan River,LR_Temple,15-Apr-15
22,162,-190,0.8,,162,DOM,140911,Sep,Logan River,LR_MainSt_BA,15-Apr-15
23,163,-144.5,0.8,,163,DOM,140913,Sep,Logan River,LR_CanalGarff,15-Apr-15
24,164,-173.1,0.8,,164,DOM,140913,Sep,Logan River,LR_HWY252,15-Apr-15
27,167,-135.4,1.1,,167,DOM,140903,Sep,Provo River,PR_BJ_AA,15-Apr-15
33,173,-170.7,0.7,,173,DOM,140903,Sep,Provo River,PR_CanyonViewPark,15-Apr-15
31,171,-166.8,0.8,,171,DOM,140903,Sep,Provo River,PR_CH_AA,15-Apr-15
28,168,-137.9,1.1,,168,DOM,140903,Sep,Provo River,PR_LM_BA,15-Apr-15
30,170,-102.9,0.9,,170,DOM,140903,Sep,Provo River,PR_SnakeCreekRR,15-Apr-15
29,169,-172.1,0.7,,169,DOM,140903,Sep,Provo River,PR_SpringCreek,15-Apr-15
26,166,-141.7,1.6,,166,DOM,140903,Sep,Provo River,PR_ST_BA,15-Apr-15
32,172,-138.2,0.8,,172,DOM,140903,Sep,Provo River,PR_Vivian,15-Apr-15
16,156,-170.2,0.7,,156,DOM,140901,Sep,Red Butte,RB_1300E,15-Apr-15
17,157,-108,1,,157,DOM,140901,Sep,Red Butte,RB_1300S,15-Apr-15
13,153,-101.7,1,,153,DOM,140901,Sep,Red Butte,RB_ARBR_AA,15-Apr-15
14,154,-108,1,,154,DOM,140901,Sep,Red Butte,RB_CG_BA,15-Apr-15
15,155,-100.4,1.2,,155,DOM,140901,Sep,Red Butte,RB_FD_AA,15-Apr-15
10,150,-135.9,0.9,,150,DOM,140901,Sep,Red Butte,RB_KF_BA,15-Apr-15
12,152,-109,1,,152,DOM,140901,Sep,Red Butte,RB_RBG_BA,15-Apr-15
11,151,-147.4,0.8,,151,DOM,140901,Sep,Red Butte,RB_TM,15-Apr-15
60,35,-162.1,0.8,,35,FPOM,140910,Sep,Jordan,1700,15-Apr-15
55,30,-167.4,0.8,,30,FPOM,140910,Sep,Jordan,5400,15-Apr-15
54,29,-168.5,0.7,,29,FPOM,140910,Sep,Jordan,7800,15-Apr-15
53,28,-165.6,0.6,,28,FPOM,140910,Sep,Jordan,Ulake,15-Apr-15
57,32,-159.7,0.9,,32,FPOM,140912,Sep,Jordan,2300,15-Apr-15
56,31,-162.7,0.8,,31,FPOM,140912,Sep,Jordan,3300,15-Apr-15
61,36,-158.5,0.9,,36,FPOM,140912,Sep,Jordan,Cudahy,15-Apr-15
58,33,-119.3,2.2,small peak/no material left,33,FPOM,140912,Sep,Jordan,MillDown,15-Apr-15
59,34,-161.8,1.1,,34,FPOM,140912,Sep,Jordan,MillUp,15-Apr-15
37,12,-202,1.2,small peak/no material left,12,FPOM,140904,Sep,Logan,LR_Mendon_AA,15-Apr-15
35,10,-204.6,1.5,small peak/no material left,10,FPOM,140904,Sep,Logan,LR_TonyGrove_BA,15-Apr-15
36,11,-169.1,0.8,small peak/no material left,11,FPOM,140904,Sep,Logan,LR_WaterLab_AA,15-Apr-15
38,13,-175.5,1.1,small peak/no material left,13,FPOM,140913,Sep,Logan,LR_HWY252,15-Apr-15
40,15,-138.2,1.5,small peak/no material left,15,FPOM,140903,Sep,Provo,PR_BJ_AA,15-Apr-15
46,21,-145,1.4,small peak/no material left,21,FPOM,140903,Sep,Provo,PR_CanyonViewPark,15-Apr-15
41,16,-185.9,1.9,,16,FPOM,140903,Sep,Provo,PR_CH_AA,15-Apr-15
42,17,-169.2,0.8,small peak/no material left,17,FPOM,140903,Sep,Provo,PR_LM_BA,15-Apr-15
44,19,-149.6,1.1,small peak/no material left,19,FPOM,140903,Sep,Provo,PR_SnakeCreekRR,15-Apr-15
43,18,-180,1.2,,18,FPOM,140903,Sep,Provo,PR_SpringCreek,15-Apr-15
39,14,-136.4,1.6,small peak/no material left,14,FPOM,140903,Sep,Provo,PR_ST_BA,15-Apr-15
45,20,-168.1,1,small peak/no material left,20,FPOM,140903,Sep,Provo,PR_Vivian,15-Apr-15
51,26,-153,0.2,small peak/no material left,26,FPOM,140901,Sep,Red Butte,RB_1300E,15-Apr-15
52,27,-154.7,0.8,,27,FPOM,140901,Sep,Red Butte,RB_1300S,15-Apr-15
49,24,-150.5,0.8,small peak/no material left,24,FPOM,140901,Sep,Red Butte,RB_ARBR_AA,15-Apr-15
50,25,-164.4,1.2,,25,FPOM,140901,Sep,Red Butte,RB_CG_BA,15-Apr-15
34,9,-126.9,0.9,small peak/no material left,9,FPOM,140901,Sep,Red Butte,RB_FD_AA,15-Apr-15
47,22,-170.7,0.9,,22,FPOM,140901,Sep,Red Butte,RB_KF_BA,15-Apr-15
48,23,-169,0.9,,23,FPOM,140901,Sep,Red Butte,RB_RBG_BA,15-Apr-15
62,37,-148.5,2.7,small peak/no material left,37,FPOM,140901,Sep,Red Butte,RB_TM,15-Apr-15
